location,dates,job-title,summary,pros,cons,overall-ratings,pros_clean,pros_lemmas,cons_clean,cons_lemmas,full_review_lemmas,pros_vader,cons_vader,cons_textblob,sentiment_final
none,2018-12-11,Current Employee - Anonymous Employee,Microsoft,"Culture, role impact, mission driven, collaboration","Volume of work is sometimes unmanageable,",5.0,culture role impact mission driven collaboration,culture role impact mission drive collaboration,volume of work is sometimes unmanageable,volume work sometimes unmanageable,culture role impact mission drive collaboration volume work sometimes unmanageable,0.0,0.0,0.0,Neutral
"Redmond, WA",2013-01-28,Current Employee - Anonymous Employee,Thoughts after 10 years....,"1. If you love tech, this is a great place. No doubt you'll talk tech (mostly the MSFT stack) from enterprise to consumer - from PCs to phones to Xboxes - from datacenter to desktop.  2. What were GREAT benefits are now VERY GOOD (took a small step down) but still probably better than you'll find at 99% of large corporations. If you've got family - the value of the benefits is even higher. 401k match is nice.  3. Even with it's struggles MSFT is still a cash printing machine. This means if you can keep your nose clean and do reasonable work, you can have a stable job, pay your bills, feed your family, and not worry (too much) about layoffs. The stock you own likely won't tank, but probably won't go up much either. You'll get a bonus each year and some stock. It's a decent life if you aren't looking to light the world on fire.","Brand on Your Resume: After many years of losing market share and struggling to be at the front end of innovation and the fact that there's 90,000 employees, don't think MSFT is necessarily going to be attractive on your resume to more agile and smaller companies.  Managing Your Career: Make you say this out loud so it registers - 90,000 employees work there. Double that for vendors. It is VERY hard to ""stand out"" and move up in the company. Don't expect your manager to be much of an advocate or enabler to help you meet your career goals - they are basically trying to survive the stack rank every year too. Not familiar with the stack rank? Check out the 2012 Vanity Fair article called ""Microsoft's Lost Decade"".",4.0, if you love tech this is a great place no doubt youll talk tech mostly the msft stack from enterprise to consumer  from pcs to phones to xboxes  from datacenter to desktop   what were great benefits are now very good took a small step down but still probably better than youll find at  of large corporations if youve got family  the value of the benefits is even higher k match is nice   even with its struggles msft is still a cash printing machine this means if you can keep your nose clean and do reasonable work you can have a stable job pay your bills feed your family and not worry too much about layoffs the stock you own likely wont tank but probably wont go up much either youll get a bonus each year and some stock its a decent life if you arent looking to light the world on fire,love tech great place no doubt talk tech mostly msft stack enterprise consumer pc phone xboxes datacenter desktop great benefit good take small step still probably well find large corporation get family value benefit even high k match nice even struggle msft still cash printing machine mean keep nose clean reasonable work stable job pay bill feed family not worry much layoff stock likely will not tank probably will not go much either get bonus year stock decent life not look light world fire,brand on your resume after many years of losing market share and struggling to be at the front end of innovation and the fact that theres  employees dont think msft is necessarily going to be attractive on your resume to more agile and smaller companies  managing your career make you say this out loud so it registers   employees work there double that for vendors it is very hard to stand out and move up in the company dont expect your manager to be much of an advocate or enabler to help you meet your career goals  they are basically trying to survive the stack rank every year too not familiar with the stack rank check out the  vanity fair article called microsofts lost decade,brand resume many year lose market share struggle front end innovation fact employee not think msft necessarily go attractive resume agile small company manage career make say loud register employee work double vendor hard stand move company not expect manager much advocate enabler help meet career goal basically try survive stack rank every year not familiar stack rank check vanity fair article call microsoft lose decade,love tech great place no doubt talk tech mostly msft stack enterprise consumer pc phone xboxes datacenter desktop great benefit good take small step still probably well find large corporation get family value benefit even high k match nice even struggle msft still cash printing machine mean keep nose clean reasonable work stable job pay bill feed family not worry much layoff stock likely will not tank probably will not go much either get bonus year stock decent life not look light world fire brand resume many year lose market share struggle front end innovation fact employee not think msft necessarily go attractive resume agile small company manage career make say loud register employee work double vendor hard stand move company not expect manager much advocate enabler help meet career goal basically try survive stack rank every year not familiar stack rank check vanity fair article call microsoft lose decade,0.9844,0.1714,0.08095238095238093,Positivo
"Redmond, WA",2018-12-09,Current Employee - Anonymous Employee,Technical Account Manager,Great company and Great people,I see no cons at this time,5.0,great company and great people,great company great people,i see no cons at this time,see no con time,great company great people see no con time,0.8481,-0.296,0.0,Negativo
"Chicago, IL",2018-12-09,Current Employee - CSA,Great company,"Benefits, work-life balance, tons of internal knowledge",Can't think of any right now,5.0,benefits worklife balance tons of internal knowledge,benefit worklife balance ton internal knowledge,cant think of any right now,can not think right,benefit worklife balance ton internal knowledge can not think right,0.3818,0.0,0.2857142857142857,Neutral
none,2018-12-09,Current Employee - Anonymous Employee,Great Company to work for,"Smart people, work life balance, growth mindset, challenging work",Can be hard to transfer internally,5.0,smart people work life balance growth mindset challenging work,smart people work life balance growth mindset challenge work,can be hard to transfer internally,hard transfer internally,smart people work life balance growth mindset challenge work hard transfer internally,0.7096,-0.1027,-0.14583333333333334,Negativo
"Redmond, WA",2018-12-03,Current Employee - Senior Program Manager,Sr. Program Manager,Challenging work and collaboration with brilliant coworkers.,Many horrible managers who are more focused on politics and their own self being.,5.0,challenging work and collaboration with brilliant coworkers,challenge work collaboration brilliant coworker,many horrible managers who are more focused on politics and their own self being,many horrible manager focused politic self,challenge work collaboration brilliant coworker many horrible manager focused politic self,0.6597,-0.1548,0.15,Negativo
none,2018-12-06,Current Employee - Anonymous Employee,Great place to work,Excellent place to work,do not have specific cons.,5.0,excellent place to work,excellent place work,do not have specific cons,not specific con,excellent place work not specific con,0.5719,0.0,0.0,Neutral
none,2018-12-06,Current Employee - Anonymous Employee,Great company,Great culture and employees are helpful,"It's a Big company, so expect mechanics/logistics of working in a big company",5.0,great culture and employees are helpful,great culture employee helpful,its a big company so expect mechanicslogistics of working in a big company,big company expect mechanicslogistic work big company,great culture employee helpful big company expect mechanicslogistic work big company,0.7845,0.0,0.0,Neutral
none,2018-12-05,Current Employee - Anonymous Employee,Great company to work for!,"Amazing benefits, culture and team.",Observed no notable cons for the company. Amazing experience working here.,5.0,amazing benefits culture and team,amazing benefit culture team,observed no notable cons for the company amazing experience working here,observe no notable con company amazing experience work,amazing benefit culture team observe no notable con company amazing experience work,0.7506,0.3818,0.17500000000000004,Positivo
"Bellevue, WA",2018-12-06,Current Employee - Software Engineer II,Microsoft Work Culture Review,The work culture and the environment is super beneficial to the employees.,Employees get too comfortable with the benefits and loyalties and might stick to a single team in Microsoft for a long time,5.0,the work culture and the environment is super beneficial to the employees,work culture environment super beneficial employee,employees get too comfortable with the benefits and loyalties and might stick to a single team in microsoft for a long time,employee get comfortable benefit loyalty might stick single team microsoft long time,work culture environment super beneficial employee employee get comfortable benefit loyalty might stick single team microsoft long time,0.7783,0.8316,0.09285714285714287,Positivo
